name,words,intro
天渊,541.2万,（番茄搜天渊动画，看首支pv，与陈青源共赴九世红尘劫）
开局长生万古，苟到天荒地老,596.7万,【已出版实体书】【非爽文+平淡日常+轻松诙谐+无女主+无刀子+苟王】入坑谨慎。
星武纪元,506.1万,许进只是在九盏星灯前拜了几拜，就来到这方能够接引星光入已身的世界，然后，他又在九盏星灯前拜了拜.....******《基因大时代》《造化之王》《掌御星辰》这三本小说，最高订7万+，最低高订3万+，最低均订7600+，本本400万字往上，人品保证，请放心入坑。
仙武帝尊,941.5万,九千年前，仙武帝尊率领百万神将打入太古洪荒，却无一人归来，只有一缕真火遗留世间。
诡秘之主,446.8万,诡秘之主动画已经在腾讯视频上播出，欢迎大家前去观看！蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。
凡骨,776.6万,世间灵骨，共分四品。
娘子，你不会真的给我下药了吧,485.6万,大干末年，恶霸横行，战乱四起，民不聊生。陈解穿越而来，发现自己竟然是个嗜酒的烂赌鬼，家里还有一对苦命的姐妹。姐姐苏云锦是自己的妻子，还有一个五岁的小姨子苏云睿。家里已经穷的揭不开锅了，就在这时却见自家漂亮娘子，笑脸盈盈的给自己端来了一碗热粥。“夫君，昨日是我不对，您喝点热粥吧。”看着娘子脸上被打的淤青，陈解感觉这件事不对劲。叮~【每日情报已更新】【1.你昨日赌钱，把家里最后三亩良田输了，喝醉了的你回家打了苏云锦一顿，并要把五岁的苏云睿卖了，换钱翻本。】【2.苏家姐妹相依为命，苏云睿是苏云锦的唯一希望。】【3.苏云锦已萌生死志，三日前用母亲遗留下来的头钗换了一包砒霜。】……砒霜！看着递到自己嘴边的热粥，陈解抬头看向自家娘子，只见她脸上淡淡的淤青，看向自己的眼神躲躲闪闪，不敢与自己对视。“娘子!”“嗯?!”“你不会给我下药了吧?”
惊鸿,848.2万,『传统玄幻』『非后宫』世间有一楼，名为《烟雨楼》，烟雨楼主李庆之，有着绝代天骄之称，黑夜之中执掌生死，然而，世人所不知的是，烟雨楼背后还有一人，方才是烟雨楼真正的创始人，以纨绔子弟的身份为掩饰，拨弄风云，布局天下！
反派：我的弟弟是天选之子,428.9万,《贱萌反派+爽文+腹黑+轻松+老六+无节操+非无敌文》
系统赋我长生，我熬死了所有人,456.1万,以生命之外的身份，去观察时间长河中修仙者的红尘情仇。
玄幻，我顿悟了混沌体,329.1万,萧云的系统只会一个功能——顿悟！体质平凡？顿悟混沌体！功法难修？顿悟圆满境界！神通难修？顿悟圆满境界！没有什么是顿悟不能解决的，如果有，那就顿悟十次，百次……
师弟们都是大佬，那我只能开挂了,163.9万,二师弟是位面之子
史上最强炼气期,1447.9万,修炼了将近五千年的方羽，还是没有突破炼气期……
异世界：我的人生开了挂！,593.6万,【吸血鬼，狼人，科技，魔药，鬼怪，生化人，占卜，傀儡，只要是你能想到的所有的可怖元素，这个世界都有。】
双生神级武魂，震惊妖帝老婆！,630.0万,【多女主➕震惊热血＋“反差”仙子妖精＋搞笑雷人“孝子”】
保护我方族长,666.9万,穿成【玄幻世界】的【族长】，从家族角度描绘尽量真实的玄幻世界，种灵田、养灵鱼、全面发展各种家族产业，扶植咸鱼长辈成老祖担当保护伞，激励小辈勇闯圣地学宫出人头地。本文家庭成员和睦团结，齐心协力，一起共创未来。非热血战斗式玄幻，以提升各项家族产业，资金、设施、家仆、家将、族人、客卿、姻亲等元素为主。力图从新鲜的视角去看”老套“的玄幻世界。剧情讨论群：837185062
开局长生不死，谁都以为我无敌,627.7万,陈长安跟在美女师父身边万年之久，不老不死，却始终无法修炼，最终被师父赶走，带着伙伴麒麟大黄，游历人间，回归陈家，获得天生胎珠，终得修炼之法。
人族镇守使,1219.2万,重活一世，沈长青成为大秦镇魔司一员，此时恰逢妖魔乱世，诡怪猖獗——斩杀幽级诡怪，纯阳功圆满！斩杀怨级诡怪，天武罡气圆满！斩杀强大妖邪，打破自身极限！斩杀——若干年后，沈长青化身人族镇守使，诸般妖魔诡怪尽皆俯首！“有我一日，人族不灭！”——有四百万字完本老书《我真的是正派》以及二百万字完本老书《重生之独步江湖》，欢迎阅读！
别人练级我修仙，苟到大乘再出山,270.1万,【模拟器+修仙+种田流+苟道流】一朝穿越，苏醒来到数据化的高武世界。这个世界拥有名为职业者的超凡强者，职业者被“上天”眷顾，下副本、杀怪物就能提升等级、实力。苏醒转职成隐藏职业修仙者，却因未知原因，无法像其他职业者那般获取经验、提升等级。无法升级、便只能修炼……可在这灵气枯竭、修士近乎灭绝的末法时代，获得灵气都成为奢望。大学四年，苏醒依旧是个小小的练气境，连毕业都困难。所幸觉醒金手指“人生模拟器”，支付能量便能模拟未来，并能将模拟中得到的修为、道具等带回现实世界。奈何在模拟的未来中，异族大举入侵现实，人族一朝覆灭。此等绝境之中，苏醒选择苟住发育，种灵植、炼丹药、提修为、提升人族整体实力……不断通过模拟器强大自身，成为隐藏在幕后的大佬，默默对抗着异族入侵……ps：是模拟器文，偏向于苟道稳健、种田发育、幕后流……
天道图书馆2天命永恒,140.5万,《天道图书馆》第2部。网文圈四大逼王之一的张悬，进入了比神界更高位面的【源世界】，借助蕴含天道有缺、天道有序、天道自然三种能力的完整版天道图书馆，征战（zhuangbi）天下的故事。寻命、认命、知命、立命……你们都还在修命、找命、借命，而我张悬，天命永恒！
我的师兄太强了,642.9万,原书名《我的师兄太强了》
灵墟，剑棺，瞎剑客,727.8万,【无系统】【天才剑道】【热血】【杀伐果断】
惜花剑,484.5万,他初出茅庐，却被神佛追杀，成为全天下赏金最高的通缉犯。他本心善良，却遭小人诬陷，阴差阳错地当上了四大采花盗之首。在世人眼中，他横行霸道，他无恶不作。最胆大的女孩子听见他的名号，也会吓得瑟瑟发抖。在最初穿越到云梦世界的那天，江晨绝对没有想到，自己会以这样的方式，名动天下。当他决意反抗命运，究竟会沦为一个祭品，还是成就一段传奇？浴血夜仗剑，且行且高歌。披一肩残月，踏万界山河。—————————————本书又名《她们说我坏》《得罪了佛祖还想跑》《我真不是魔头》《一剑劈开生死路》本书原名《梦中强吻女帝，被找上门了怎么办》
开局移植妖魔心脏，成为绝世凶物,509.2万,（无系统，多女主，亦正亦邪）
斗罗大陆IV终极斗罗,432.1万,一万年后，冰化了。斗罗联邦科考队在极北之地科考时发现了一个有着金银双色花纹的蛋，用仪器探察之后，发现里面居然有生命体征，赶忙将其带回研究所进行孵化。蛋孵化出来了，可孵出来的却是一个婴儿，和人类一模一样的婴儿，一个蛋生的孩子。
宿命之环,377.0万,诡秘世界第二部。1368之年，七月之末，深红将从天而降。
一剑霸天,856.4万,【大神小号、单女主、杀伐果断，强烈推荐！】
修罗天帝,850.2万,八年前，雷霆古城一夜惊变，少城主秦命押入青云宗为仆，二十万民众赶进大青山为奴。八年后，淬灵入武，修罗觉醒，不屈少年逆天崛起。给我一柄刀，可破苍穹，给我一柄剑，可指霄汉。金麟岂是池中物，一遇风云便化龙。当修罗子、不死王、雷霆战尊、古海蛮皇等等一个个封号落在秦命身上，这个一身傲骨的少年踏天而行，带领一众挚友红颜，傲战八荒，横扫六合，谱写一曲可歌可泣的热血战歌。
你们都追女主？那女魔头我娶走了,368.1万,（单女主-日常贴贴-保证糖够-有修炼体系-背景宏大）
九星霸体诀,1807.4万,是丹帝重生？还是融合灵魂？
开局成为首座，签到极道帝兵！,546.8万,【轻松日常+无敌+靠山宗+打不过就叫人+老六+不讲武德+长生】
上城之下,265.3万,【实体书已签约，可放心食用】
天下游鱼,754.4万,沧澜江畔，少年郎蓑衣斗笠，一手持酒，一手钓竿，心不在天下，人却在江湖……
我开的真是孤儿院，不是杀手堂,301.2万,【全站唯一脑洞武侠群像文！】
提前登陆游戏世界，开局联姻女帝,271.0万,【提前穿越+权谋+王朝争霸+魅魔+诸天融合】
